inchikey,smiles,mw,observed_as_reactant,observed_as_product,strict_starting_material_candidate,source_reaction_ids,source_files,classifications
FPRFNXQLWQOWED-CYBMUJFWSA-N,COc1ccc([C@H]2COc3cc(O)ccc3C2)cc1,256.301,True,True,False,LIT_0277;LIT_0278,26-06-26 黄酮化合物的合成.md,literature_reaction
GQMFGWWADOSNMX-CQSZACIVSA-N,COc1ccc([C@H]2COc3cc(OC)ccc3C2)cc1,270.328,True,True,False,LIT_0276;LIT_0277,26-06-26 黄酮化合物的合成.md,literature_reaction
BQNFJVFJAZEPAU-QGZVFWFLSA-N,COc1ccc([CH-]C(=O)N2C[C@@H](Cc3ccccc3)OC2=O)cc1,324.356,True,True,False,LIT_0272;LIT_0273,26-06-26 黄酮化合物的合成.md,literature_reaction
SMFFZOQLHYIRDA-UHFFFAOYSA-M,COc1ccc([O-])cc1OC,153.157,True,True,False,LIT_0312;LIT_0313,26-06-26 黄酮化合物的合成.md,literature_reaction;oxidation
QOWFBQWCVIRVON-UHFFFAOYSA-N,COc1ccc2c(=O)c(-c3ccc(OCc4ccccc4)cc3OCc3ccccc3)coc2c1,464.517,True,False,True,LIT_0219,26-06-26 黄酮化合物的合成.md,protection
WRIWQMPISQUQFR-UHFFFAOYSA-N,COc1ccc2c(c1)C(Oc1ccccc1Br)=CCO2,333.181,True,True,False,LIT_0231_v03;LIT_0232_v03,26-06-26 黄酮化合物的合成.md,literature_reaction
HFEQMNOVXIPFGE-KNVGNIICSA-N,COc1ccc2c(c1)C1Oc3ccccc3[C@@H]1CO2,254.285,False,True,False,LIT_0232_v03,26-06-26 黄酮化合物的合成.md,literature_reaction
WWJKCKWDKHRFIB-MFOYZWKCSA-N,COc1ccc2c(c1)O/C(=C\c1ccc(OC)c(OC)c1)C2=O,312.321,True,False,True,LIT_0078,26-06-25 黄酮化合物的性质.md,chalcone_synthesis
UOJHCSLDVZMPAR-UHFFFAOYSA-N,COc1ccc2c(c1)OC(COc1ccccc1I)C=C2,394.208,True,False,True,LIT_0305,26-06-26 黄酮化合物的合成.md,literature_reaction
UBSDUFBWBOXJIJ-UHFFFAOYSA-N,COc1ccc2c(c1)OC1C(C)Oc3ccccc3C1C2=O,296.322,False,True,False,LIT_0302_v02,26-06-26 黄酮化合物的合成.md,oxidation
JXIBHQPIAWHHBK-UHFFFAOYSA-N,COc1ccc2c(c1)OC1C(C2=O)c2ccccc2OC1(C)C(C)C,338.403,False,True,False,LIT_0302_v06,26-06-26 黄酮化合物的合成.md,oxidation
MYIPQJKNAUDCGU-UHFFFAOYSA-N,COc1ccc2c(c1)OC1C(C2=O)c2ccccc2OC1(C)OC,326.348,False,True,False,LIT_0302_v04,26-06-26 黄酮化合物的合成.md,oxidation
FNWMLDRKGJFUDF-UHFFFAOYSA-N,COc1ccc2c(c1)OC1C(C2=O)c2ccccc2OC1C(C)C,324.376,False,True,False,LIT_0302_v05,26-06-26 黄酮化合物的合成.md,oxidation
XVBVTPHEYWVALM-UHFFFAOYSA-N,COc1ccc2c(c1)OC1C(OC)Oc3ccccc3C1C2=O,312.321,False,True,False,LIT_0302_v03,26-06-26 黄酮化合物的合成.md,oxidation
MUQFXDRPTIDXQY-UHFFFAOYSA-N,COc1ccc2c(c1)OC1COc3ccccc3C1=C2,266.296,True,True,False,LIT_0305;LIT_0306,26-06-26 黄酮化合物的合成.md,literature_reaction
XMTWIAHPZMPASQ-UHFFFAOYSA-N,COc1ccc2c(c1)OC1COc3ccccc3C1C2=O,282.295,False,True,False,LIT_0302_v01;LIT_0306,26-06-26 黄酮化合物的合成.md,literature_reaction;oxidation
SVDWMRTZSYORGU-UHFFFAOYSA-N,COc1ccc2c(c1)OCC(C(=O)O)C2,208.213,True,False,True,LIT_0270;LIT_0271,26-06-26 黄酮化合物的合成.md,literature_reaction
FKOPYQMWDXSXKB-UHFFFAOYSA-N,COc1ccc2c(c1)OCC1Oc3ccccc3C21,254.285,False,True,False,LIT_0230,26-06-26 黄酮化合物的合成.md,oxidation
YHZDBBUEVZEOIY-UHFFFAOYSA-N,COc1ccc2c(c1)OCC1c3ccc(O)cc3OC21,270.284,False,True,False,LIT_0219,26-06-26 黄酮化合物的合成.md,protection
LZMRDTLRSDRUSU-SJORKVTESA-N,COc1ccc2c(c1)OC[C@]1(O)c3cc4c(cc3O[C@H]21)OCO4,314.293,False,True,False,LIT_0029,26-06-18 黄酮化合物的生物合成.md,biosynthesis
NSRJSISNDPOJOP-BBRMVZONSA-N,COc1ccc2c(c1)O[C@H]1c3ccc(O)cc3OC[C@@H]21,270.284,False,True,False,LIT_0028,26-06-18 黄酮化合物的生物合成.md,biosynthesis
YMSGWTPLQWOKTN-UHFFFAOYSA-N,COc1ccc2c(c1OC)-c1c(oc3ccccc3c1=O)CO2,310.305,False,True,False,LIT_0280,26-06-26 黄酮化合物的合成.md,literature_reaction
XZQLSABETMKIGG-UHFFFAOYSA-N,COc1ccc2oc(-c3ccccc3)cc(=O)c2c1,252.269,False,True,False,LIT_0158_v01,26-06-26 黄酮化合物的合成.md,flavonoid_cyclization
NLLGFYPSWCMUIV-UHFFFAOYSA-N,COc1cccc(B(O)O)c1,151.958,True,False,True,LIT_0105_v03,26-06-26 黄酮化合物的合成.md,chalcone_synthesis
YBUUDNGHUKBXSG-UHFFFAOYSA-N,COc1cccc(C(=O)C=Cc2ccccc2)c1,238.286,False,True,False,LIT_0105_v03,26-06-26 黄酮化合物的合成.md,chalcone_synthesis
YDNKGRXLNBGGNU-UHFFFAOYSA-N,COc1cccc(O)c1C(=O)CC(=O)c1ccccc1,270.284,True,True,False,LIT_0135;LIT_0136,26-06-26 黄酮化合物的合成.md,flavonoid_synthesis;protection
UENLHUMCIOWYQN-UHFFFAOYSA-N,COc1cccc(O)c1C(C)=O,166.176,True,True,False,LIT_0133;LIT_0134,26-06-26 黄酮化合物的合成.md,flavonoid_synthesis
DPZNOMCNRMUKPS-UHFFFAOYSA-N,COc1cccc(OC)c1,138.166,True,False,True,LIT_0102,26-06-26 黄酮化合物的合成.md,chalcone_synthesis
ZHAWYKQZTOOJSG-VXORNPPKSA-N,COc1cccc(OC)c1C1O[C@H](COCc2ccccc2)C(OCc2ccccc2)[C@@H](OCc2ccccc2)[C@H]1OCc1ccccc1,660.807,True,True,False,LIT_0335;LIT_0336,26-06-26 黄酮化合物的合成.md,chalcone_synthesis;deprotection
OCUQMMRAHBZEHJ-UHFFFAOYSA-N,COc1cccc(OC)c1C=CC(=O)c1ccccc1,268.312,False,True,False,LIT_0107_v07,26-06-26 黄酮化合物的合成.md,biosynthesis
UENLHUMCIOWYQN-UHFFFAOYSA-M,COc1cccc([O-])c1C(C)=O,165.168,True,True,False,LIT_0134;LIT_0135,26-06-26 黄酮化合物的合成.md,flavonoid_synthesis
YLLFUILNISGLHO-UHFFFAOYSA-N,COc1cccc2c1C(=O)CC(c1ccccc1)O2,254.285,False,True,False,LIT_0136,26-06-26 黄酮化合物的合成.md,protection
LUROJIONPNKPGH-UHFFFAOYSA-N,COc1cccc2c1OC(c1ccccc1)CC2=O,254.285,False,True,False,LIT_0168_v03,26-06-26 黄酮化合物的合成.md,flavanone_synthesis
VBVGAAXWZUZNNE-UHFFFAOYSA-N,COc1ccccc1C(=O)Cc1ccccc1,226.275,True,False,True,LIT_0074,26-06-25 黄酮化合物的性质.md,isoflavone_synthesis
ILUJQPXNXACGAN-UHFFFAOYSA-N,COc1ccccc1C(=O)O,152.149,False,True,False,LIT_0074,26-06-25 黄酮化合物的性质.md,isoflavone_synthesis
ZWTRSTWJBWJEFR-UHFFFAOYSA-N,COc1ccccc1C=CC(=O)c1ccccc1,238.286,False,True,False,LIT_0107_v03,26-06-26 黄酮化合物的合成.md,biosynthesis
WJLZDCFKUWXCFZ-UHFFFAOYSA-N,COc1ccccc1OC(C#CBr)c1ccccc1,317.182,True,True,False,LIT_0167_v03;LIT_0168_v03,26-06-26 黄酮化合物的合成.md,flavanone_synthesis
QARBMVPHQWIHKH-UHFFFAOYSA-N,CS(=O)(=O)Cl,114.553,True,False,True,LIT_0317,26-06-26 黄酮化合物的合成.md,literature_reaction
AFVFQIVMOAPDHO-UHFFFAOYSA-M,CS(=O)(=O)[O-],95.099,False,True,False,LIT_0319,26-06-26 黄酮化合物的合成.md,literature_reaction
